x_t,y_t,x_t-1,y_t-1,a_x,a_y
1.393727351189552488e+00,-6.818498951040983247e-01,1.402277161970012065e+00,-6.369960838524616475e-01,-1.308024044242222628e+00,-1.321162820688809081e+00,0.000000000000000000e+00
1.342835973301323094e+00,-7.249467217243861228e-01,1.352295879343725638e+00,-6.819171457830606187e-01,-1.308948582536508587e+00,-1.272329672654011867e+00,0.000000000000000000e+00
1.291941879163512219e+00,-7.663452729774081762e-01,1.302291385925287148e+00,-7.251189310008678834e-01,-1.309054891390491804e+00,-1.223975556159626166e+00,0.000000000000000000e+00
1.241065560044654958e+00,-8.060627203920948114e-01,1.252284223593371992e+00,-7.666183048484894735e-01,-1.308359210880326140e+00,-1.176110355730493717e+00,0.000000000000000000e+00
1.190227092299244172e+00,-8.441165688540469558e-01,1.202294526515005568e+00,-8.064324806746303587e-01,-1.306877779954232377e+00,-1.128743562858752325e+00,0.000000000000000000e+00
1.139446137562583061e+00,-8.805246429424082866e-01,1.152342021173882625e+00,-8.445790059965281316e-01,-1.304626829934274257e+00,-1.081884280013347244e+00,0.000000000000000000e+00
1.088741943108303190e+00,-9.153050734102646802e-01,1.102446026561823000e+00,-8.810757488035487750e-01,-1.301622578149964626e+00,-1.035541224726645337e+00,0.000000000000000000e+00
1.038133342365155976e+00,-9.484762838111329142e-01,1.052625454530059068e+00,-9.159408840046606715e-01,-1.297881221704534571e+00,-9.897227337539341585e-01,0.000000000000000000e+00
9.876387555897061521e-01,-9.800569772740005403e-01,1.002898810297021104e+00,-9.491928800223535800e-01,-1.293418931373311542e+00,-9.444367673030376054e-01,0.000000000000000000e+00
9.372761906915555441e-01,-1.010066123429281371e+00,9.532841931093082311e-01,-9.808504855354693852e-01,-1.288251845633902271e+00,-8.996909133312864792e-01,0.000000000000000000e+00
8.870632442077249769e-01,-1.038522945487923010e+00,9.037992970525302594e-01,-1.010932716373317719e+00,-1.282396064828473348e+00,-8.554923919061240278e-01,0.000000000000000000e+00
8.370171024228413303e-01,-1.065446907475813054e+00,8.544614120087096198e-01,-1.039458842563315999e+00,-1.275867645457178234e+00,-8.118480596268028426e-01,0.000000000000000000e+00
7.871545426317742011e-01,-1.090857701625516762e+00,8.052874247569465904e-01,-1.066448375534304382e+00,-1.268682594602979385e+00,-7.687644141041056756e-01,0.000000000000000000e+00
7.374919345413792904e-01,-1.114775235927283337e+00,7.562938202140525590e-01,-1.091921055477579783e+00,-1.260856864487267526e+00,-7.262475984949846586e-01,0.000000000000000000e+00
6.880452418080245103e-01,-1.137219621841137895e+00,7.074966828118639528e-01,-1.115896838867580954e+00,-1.252406347155564870e+00,-6.843034060891900472e-01,0.000000000000000000e+00
6.388300237075692500e-01,-1.158211162171811193e+00,6.589116980079753327e-01,-1.138395886144056623e+00,-1.243346869293580070e+00,-6.429372849455970984e-01,0.000000000000000000e+00
5.898614369344989949e-01,-1.177770339108105135e+00,6.105541539266150508e-01,-1.159438549557463949e+00,-1.233694187172314383e+00,-6.021543425741071598e-01,0.000000000000000000e+00
5.411542375269174920e-01,-1.195917802428253962e+00,5.624389431264263939e-01,-1.179045361179205997e+00,-1.223463981722220595e+00,-5.619593506619927625e-01,0.000000000000000000e+00
4.927227829141211934e-01,-1.212674357872692621e+00,5.145805644919132504e-01,-1.197237021078267682e+00,-1.212671853735573180e+00,-5.223567498403544063e-01,0.000000000000000000e+00
4.445810340834939756e-01,-1.228060955685580602e+00,4.669931252453312642e-01,-1.214034385665667237e+00,-1.201333319196504990e+00,-4.833506544890313061e-01,0.000000000000000000e+00
3.967425578634765082e-01,-1.242098679326326005e+00,4.196903430758198716e-01,-1.229458456208073480e+00,-1.189463804738057240e+00,-4.449448575769192060e-01,0.000000000000000000e+00
3.492205293193852422e-01,-1.254808734352248267e+00,3.726855483825864956e-01,-1.243530367511838541e+00,-1.177078643225462296e+00,-4.071428355347173067e-01,0.000000000000000000e+00
3.020277342588719716e-01,-1.266212437473452912e+00,3.259916866289737647e-01,-1.256271376778583804e+00,-1.164193069465019326e+00,-3.699477531582503476e-01,0.000000000000000000e+00
2.551765718438364638e-01,-1.276331205780875555e+00,2.796213208042561682e-01,-1.267702852633420862e+00,-1.150822216037723722e+00,-3.333624685389867115e-01,0.000000000000000000e+00
2.086790573056248044e-01,-1.285186546148378683e+00,2.335866339900349031e-01,-1.277846264326760073e+00,-1.136981109256863354e+00,-2.973895380197728033e-01,0.000000000000000000e+00
1.625468247603680250e-01,-1.292800044809694793e+00,1.878994320281185126e-01,-1.286723171110596198e+00,-1.122684665248709912e+00,-2.620312211731826157e-01,0.000000000000000000e+00
1.167911301213385572e-01,-1.299193357110920211e+00,1.425711462867985113e-01,-1.294355211790069404e+00,-1.107947686155434930e+00,-2.272894857997928841e-01,0.000000000000000000e+00
